"sheet","column_label","column_description"
"imago","body_size_min","minimal adult body size in millimeters"
"imago","body_size_max","maximal adult body size in millimeters"
"imago","abdomen_length_min","minimal abdomen length in millimeters"
"imago","abdomen_length_max","maximal abdomen length in millimeters"
"imago","hindwing_min","minimal hindwing span in millimeters"
"imago","hindwing_max","maximal hindwing span in millimeters"
"imago","coloration_male","specific coloration of mature male body: 1 - dark/black;  2 - azure blue/black; 3 - metallic green/blue; 4 - yellow/dark; 5 - brownish; 6 - green-yellow; 7 - gray-blue; 8 - red"
"imago","coloration_class","coloration of mature male body (general aspect): dark (black, azure-blue, brown, dark green); intermediate; pale (red, yellow, light blue)"
"larvae_exuvia","exuvia_length_min","minimal exuvia total length in millimeters (including caudal lamellae for Zygoptera)"
"larvae_exuvia","exuvia_length_max","maximal exuvia total  length in millimeters (including caudal lamellae for Zygoptera)"
"larvae_exuvia","exuvia_body_length_min","minimal exuvia body length (mm) for Zygoptera only"
"larvae_exuvia","exuvia_body_length_max","maximal exuvia body length (mm) for Zygoptera only"
"larvae_exuvia","exuvia_caudal_lamellae_min","minimal exuvia length of caudal lamellae (mm) for Zygoptera only"
"larvae_exuvia","exuvia_caudal_lamellae_max","maximal exuvia length of caudal lamellae (mm) for Zygoptera only"
"ecological","habitat","habitat preference: 1 - eutrophic; 2 - oligotrophic; 3 - temporary waters; 4 - streams and rivers; 5 - southern streams and rivers (= Mediterranean); 6 - generalist (species occurring in a wide range of standing and flowing waters)"
"ecological","percher_flier","Adult activity modes related to thermoregulation and foraging, where perchers spend most time at rest, fliers spend more time in flight, and  flier_percher use both strategies"
"ecological","start_main_flight_period","start of the main flight period in Europe, excluding the extreme early records"
"ecological","end_main_flight_period","end of the main flight period in Europe, excluding the extreme late records"
"ecological","sti","Species Temperature Index (STI) is the average temperature (°C) of the species’ range in Europe, based on the data from 1990 onwards from the European atlas; uses average monthly temperatures for 1960–1990 (WordlClim) at a 50 × 50 km grid scale."
"ecological","sti_sd","Species Temperature Index (STI) standard deviation"
"ecological","partivoltine",">2 years to complete one generation"
"ecological","semivoltine","2 years to complete one generation"
"ecological","univoltine","1 year to complete one generation"
"ecological","bivoltine","2 generations completed in one year"
"ecological","multivoltine",">2 generations completed in one year"
"ecological","overwintering_stage","overwintering as: larva; egg; egg_larva (semi- or partivoltine species overwinters first year in egg stadium and second winter as larva); adult"
"ecological","oviposition_mode","endophyic = the laying of eggs inside a substrate, usually living or dead plant tissue; exophytic = the dropping of eggs onto the water surface or during flight; sediment = the laying of eggs inside the bottom substrate of a stream"
"ecological","larval_strategy","position in the water of the larvae (behaviour and feeding strategy): burrower = in the bottom sediment; clasper = on rocks, stones, soil; hider = hide within roots of trees; sprawler = within the submerged vegetation"
"protection_endemism","bern_convention","Species listed in the Council of Europe’s Convention on the Conservation of European Wildlife and Natural Habitats (1979), or Bern Convention, which was the first legal convention to protect Europe’s wild plants and animals."
"protection_endemism","habitats_directive_2","Species mentioned on Annex II of the European Habitats Directive; countries need to designate, protect and manage special areas of conservation for those species"
"protection_endemism","habitats_directive_4","Species mentioned on Annex IV of the European Habitats Directive; species of “community interest” that requires strict protection throughout its entire range"
"protection_endemism","endemic_europe","Species is endemic to Europe"
"protection_endemism","endemic_eu27","Species is endemic to the 27 countries of the European Union (EU27)"
"protection_endemism","near_endemic_europe","Species just occurs marginally outside Europe, i.e. North Africa, Turkey or just east of the Ural Mountains"
"conservation","redlist_2024_category","Red List category in Europe as assessed in the European Red List of 2024: Critically Endangered (CR); Endangered (EN); Vulnerable (VU); Near Threatened (NT); Data Deficient (DD); Least Concern (LC); Not Applicable (NA) (species does not occur in the focal region)"
"conservation","redlist_2024_criteria","IUCN Red List criteria for threatened (CR, EN, VU) or near-threatened (NT) status"
"conservation","eu27_redlist_2024_category","Red list category in EU27 as assessed in the European Red List of 2024: Critically Endangered (CR); Endangered (EN); Vulnerable (VU); Near Threatened (NT); Data Deficient (DD); Least Concern (LC); Not Applicable (NA) (species does not occur in the focal region)"
"conservation","eu27_redlist_2024_criteria","IUCN Red List criteria for threatened (CR, EN, VU) or near-threatened (NT) status"
"conservation","population_trend","occurrence trends of dragonflies in Europe over the period 2010-2020, as calculated for the European Red List: decreasing; increasing; stable; unknown"
"conservation","eoo_europe","Extent of Occurrence (EOO) of a species in Europe in km² in the period 2000-2020, calculated using IUCN method; this is the surface area of a convex hull around the records and  includes not suitable habitats for the species and even seas"
"conservation","aoo_europe","Area of Occupancy (AOO) is the area within its ‘extent of occurrence’ in Europe which is occupied by a species, calculated here as the sum of all 2 x 2 km squares where the species has been found in the period 2000-2020"
"conservation","eoo_eu27","Extent of Occurrence (EOO) of a species in EU27 in km² in the period 2000-2020, calculated using IUCN method; this is the surface area of a convex hull around the records and  includes not suitable habitats for the species and even seas"
