"species_name","habitat","percher_flier","start_main_flight_period","end_main_flight_period","sti","sti_sd","partivoltine","semivoltine","univoltine","bivoltine","multivoltine","voltinism_source","overwintering_stage","overwintering_stage_source","oviposition_mode","oviposition_mode_source","larval_strategy"
"Aeshna affinis","temporary waters","flier","June","September","10.877493999912099","2.87070195348555","0","0","1","0","0","6","egg_larva","6","endophytic","6","clasper"
"Aeshna caerulea","oligotrophic","flier_percher","June","September","2.0069756423234799","2.9749188102776798","1","0","0","0","0","6","egg_larva","6","endophytic","6","clasper"
"Aeshna crenata","oligotrophic","flier","July","August","4.2826237792583797","1.26434154196096","1","0","0","0","0","6","egg_larva","6","endophytic","6","clasper"
"Aeshna cyanea","eutrophic","flier","July","October","8.8130186761458393","3.1142285183768301","0","1","1","0","0","6","egg_larva","6","endophytic","6","clasper"
"Aeshna grandis","eutrophic","flier","June","September","6.5531221183705002","2.88218032781558","1","1","0","0","0","6","egg_larva","6","endophytic","6","clasper"
"Aeshna isoceles","eutrophic","flier","May","July","10.379193786252699","3.1874822594436498","0","1","1","0","0","6","egg_larva","6","endophytic","6","clasper"
"Aeshna juncea","oligotrophic","flier","July","September","5.8595300616894201","3.2458759346647099","1","0","0","0","0","6","egg_larva","6","endophytic","6","clasper"
"Aeshna mixta","eutrophic","flier","July","October","10.2514320503701","3.4322981800451902","0","0","1","0","0","6","egg_larva","6","endophytic","6","clasper"
"Aeshna serrata","eutrophic","flier","July","September","5.0862121818374302","1.42054137302761","1","1","0","0","0","6","egg_larva","6","endophytic","6","clasper"
"Aeshna subarctica","oligotrophic","flier","July","September","5.4051772040132704","2.4963084653210101","1","0","0","0","0","6","egg_larva","6","endophytic","6","clasper"
"Aeshna viridis","eutrophic","flier","July","September","7.0579015449759597","1.71759277152629","1","1","0","0","0","6","egg_larva","6","endophytic","6","clasper"
"Anax ephippiger","temporary waters","flier","March","October","13.049500789810899","3.9219150037768702","0","0","0","1","0","6","larva","6","endophytic","6","clasper"
"Anax immaculifrons","southern streams and rivers","flier","May","July","17.971645103773","1.1366392782080501","0","0","1","0","0","18","larva","NA","endophytic","6","clasper"
"Anax imperator","eutrophic","flier","May","August","11.3976892367199","3.8033945813197101","0","1","1","0","0","6","larva","6","endophytic","6","clasper"
"Anax parthenope","eutrophic","flier","May","September","11.8234638772189","3.7149446033396898","0","1","1","0","0","6","larva","6","endophytic","6","clasper"
"Boyeria cretensis","southern streams and rivers","flier","June","July","16.539373168193599","1.4090736451668799","0","1","1","0","0","6","egg_larva","6","endophytic","6","clasper"
"Boyeria irene","southern streams and rivers","flier","June","September","12.525745545686799","2.54708703320359","1","1","0","0","0","6","egg_larva","6","endophytic","6","clasper"
"Brachythemis impartita","eutrophic","percher","April","November","16.174107687545799","1.0939105773195601","0","0","1","0","0","18","larva","NA","exophytic","6","sprawler"
"Brachytron pratense","eutrophic","flier","April","June","9.0170483861282396","2.51571993101562","1","1","0","0","0","6","larva","6","endophytic","6","hider"
"Caliaeschna microstigma","southern streams and rivers","flier","May","July","13.560136765479401","2.95214521766807","0","0","1","0","0","6","larva","6","endophytic","6","hider"
"Calopteryx haemorrhoidalis","southern streams and rivers","percher","May","September","13.733026133184699","2.2287036328484602","0","0","1","0","0","6","larva","6","endophytic","6","hider"
"Calopteryx splendens","streams and rivers","percher","May","August","9.3911215821153995","3.0408609103130302","0","1","1","0","0","6","larva","6","endophytic","6","hider"
"Calopteryx virgo","streams and rivers","percher","May","August","8.9463396793788696","3.7426291662518398","0","1","1","0","0","6","larva","6","endophytic","6","hider"
"Calopteryx xanthostoma","southern streams and rivers","percher","May","August","12.4026203571133","2.3078550961501101","0","0","1","0","0","6","larva","6","endophytic","6","hider"
"Ceriagrion georgifreyi","southern streams and rivers","percher","May","August","15.7679781683755","0.1","0","1","1","0","0","17","larva","6","endophytic","6","sprawler"
"Ceriagrion tenellum","eutrophic","percher","June","August","12.198508421707601","2.76068770451469","0","1","1","0","0","6","larva","6","endophytic","6","sprawler"
"Chalcolestes parvidens","eutrophic","percher","May","November","13.3067945565193","2.8382879160855201","0","0","1","0","0","6","egg","6","endophytic","6","sprawler"
"Chalcolestes viridis","eutrophic","percher","June","October","10.6155548219213","3.06609240008058","0","0","1","0","0","6","egg","6","endophytic","6","sprawler"
"Coenagrion armatum","eutrophic","percher","April","June","5.0459688597834598","2.1014794489745698","0","1","1","0","0","6","larva","6","endophytic","6","sprawler"
"Coenagrion caerulescens","southern streams and rivers","percher","May","August","13.4705008103161","2.4043572870754399","0","0","1","0","0","6","larva","6","endophytic","6","sprawler"
"Coenagrion castellani","southern streams and rivers","percher","May","July","14.272401760150499","1.3009132158564001","0","1","1","0","0","17","larva","6","endophytic","6","sprawler"
"Coenagrion ecornutum","oligotrophic","percher","June","July","NA","NA","0","NA","1","0","0","17","larva","17","endophytic","17","sprawler"
"Coenagrion glaciale","oligotrophic","percher","May","July","NA","NA","0","1","NA","0","0","17","larva","17","endophytic","17","sprawler"
"Coenagrion hastulatum","oligotrophic","percher","May","July","5.6631633483283297","2.6212359238901599","0","1","1","0","0","6","larva","6","endophytic","6","sprawler"
"Coenagrion hylas","oligotrophic","percher","June","July","4.1707818505578702","0.1","0","1","0","0","0","6","larva","6","endophytic","6","sprawler"
"Coenagrion intermedium","southern streams and rivers","percher","May","June","16.632290567841299","1.0738325653565","0","0","1","0","0","17","larva","6","endophytic","6","sprawler"
"Coenagrion johanssoni","oligotrophic","percher","June","July","3.1802537789347101","2.2273539103586999","0","1","0","0","0","6","larva","6","endophytic","6","sprawler"
"Coenagrion lunulatum","oligotrophic","percher","April","May","6.7388993363885996","2.46683607780415","0","0","1","0","0","6","larva","6","endophytic","6","sprawler"
"Coenagrion mercuriale","streams and rivers","percher","May","July","11.4636444975716","2.58317741658268","0","1","1","0","0","6","larva","6","endophytic","6","sprawler"
"Coenagrion ornatum","streams and rivers","percher","May","July","9.7191741276027699","1.8758312596285101","0","0","1","0","0","6","larva","6","endophytic","6","sprawler"
"Coenagrion puella","eutrophic","percher","May","August","9.2965022618149202","2.8376179494523699","0","1","1","0","0","6","larva","6","endophytic","6","sprawler"
"Coenagrion pulchellum","eutrophic","percher","April","July","8.3028467183980297","2.7647737721710999","0","0","1","0","0","6","larva","6","endophytic","6","sprawler"
"Coenagrion scitulum","eutrophic","percher","May","August","12.060869014656101","2.6850175898790001","0","0","1","0","0","6","larva","6","endophytic","6","sprawler"
"Cordulegaster bidentata","streams and rivers","flier","May","August","8.8313912300271102","2.74974488967477","1","0","0","0","0","6","larva","6","sediment","6","burrower"
"Cordulegaster boltonii","streams and rivers","flier","June","August","8.7694948166270894","3.5509245994530501","1","1","0","0","0","6","larva","6","sediment","6","burrower"
"Cordulegaster helladica","southern streams and rivers","flier","May","July","15.5273375768833","1.0750426904447199","1","0","0","0","0","17","larva","6","sediment","6","sprawler"
"Cordulegaster heros","streams and rivers","flier","June","July","10.036111507752199","2.2122971223289101","1","0","0","0","0","6","larva","6","sediment","6","burrower"
"Cordulegaster insignis","southern streams and rivers","flier","June","July","13.2364358882262","2.3976381500983699","1","0","0","0","0","17","larva","6","sediment","6","burrower"
"Cordulegaster picta","southern streams and rivers","flier","May","July","13.3925079656227","1.7414358585816401","1","0","0","0","0","17","larva","6","sediment","6","burrower"
"Cordulegaster trinacriae","southern streams and rivers","flier","May","August","14.272401760150499","1.3009132158564001","1","0","0","0","0","17","larva","6","sediment","6","burrower"
"Cordulia aenea","eutrophic","flier","April","July","7.3475018811222803","2.7723118933640198","1","1","0","0","0","6","larva","6","exophytic","6","sprawler"
"Crocothemis erythraea","eutrophic","percher","May","September","12.2024431452082","3.6237455353513699","0","0","1","1","0","6","larva","6","exophytic","6","sprawler"
"Diplacodes lefebvrii","eutrophic","percher","May","October","16.776410255574401","1.0517681715882901","0","0","1","0","0","NA","larva","NA","exophytic","6","sprawler"
"Enallagma cyathigerum","eutrophic","flier_percher","May","September","8.4630982804777997","3.74763231661509","0","0","1","0","0","6","larva","6","endophytic","6","sprawler"
"Epallage fatime","southern streams and rivers","percher","April","July","13.970452522207299","3.00296367714208","0","0","1","0","0","6","larva","6","endophytic","6","hider"
"Epitheca bimaculata","eutrophic","flier","May","June","7.4939067685215299","2.2155143041063501","1","1","0","0","0","6","larva","6","exophytic","6","sprawler"
"Erythromma lindenii","generalist","flier","June","August","12.1225367825279","3.0664269333480001","0","0","1","1","0","6","larva","6","endophytic","6","sprawler"
"Erythromma najas","eutrophic","percher","May","July","7.6013436027947696","2.56899815362944","0","1","1","0","0","6","larva","6","endophytic","6","sprawler"
"Erythromma viridulum","eutrophic","percher","June","September","10.6441576906488","3.0498020814570301","0","0","1","1","0","6","larva","6","endophytic","6","sprawler"
"Gomphus graslinii","southern streams and rivers","flier","May","August","13.321427917215701","1.82073919988808","1","1","0","0","0","6","larva","6","exophytic","6","burrower"
"Gomphus pulchellus","generalist","flier_percher","May","July","11.131055399093601","2.8544442373458998","1","1","0","0","0","6","larva","6","exophytic","6","burrower"
"Gomphus schneiderii","southern streams and rivers","flier","May","July","14.371599922112701","2.2970699424833798","0","1","0","0","0","17","larva","6","exophytic","6","burrower"
"Gomphus simillimus","southern streams and rivers","flier","May","August","12.115169146910899","2.2045836928030802","1","1","0","0","0","6","larva","6","exophytic","6","burrower"
"Gomphus vulgatissimus","streams and rivers","flier","May","July","8.6060815661427998","2.4347703460007799","1","1","0","0","0","6","larva","6","exophytic","6","burrower"
"Ischnura aralensis","eutrophic","percher","May","August","NA","NA","0","0","1","1","NA","6","NA","NA","endophytic","17","sprawler"
"Ischnura elegans","eutrophic","percher","May","September","9.8146040525095604","3.47749362550047","0","0","1","1","0","6","egg_larva","6","endophytic","6","sprawler"
"Ischnura fountaineae","eutrophic","percher","March","October","17.581969696969701","0.1","0","0","0","1","1","6","larva","NA","endophytic","6","sprawler"
"Ischnura genei","eutrophic","percher","April","September","15.311392401494601","1.6440382991006499","0","0","1","1","1","NA","larva","NA","endophytic","6","sprawler"
"Ischnura graellsii","eutrophic","percher","April","October","14.2038789782052","2.4624758218882299","0","0","0","1","1","6","larva","6","endophytic","6","sprawler"
"Ischnura hastata","eutrophic","percher","April","August","16.176307027649798","0.244841129382602","0","0","1","1","1","6","larva","6","endophytic","6","sprawler"
"Ischnura intermedia","southern streams and rivers","percher","April","October","18.0261914636116","0.1","0","0","0","1","1","9","larva","9","endophytic","9","sprawler"
"Ischnura pumilio","eutrophic","percher","May","September","10.4544203080983","3.0664115260776099","0","0","1","1","1","6","larva","6","endophytic","6","sprawler"
"Ischnura saharensis","generalist","percher","March","September","NA","NA","0","0","1","1","1","NA","larva","NA","endophytic","17","sprawler"
