"species_name","body_size_min","body_size_max","abdomen_length_min","abdomen_length_max","hindwing_min","hindwing_max","coloration_male","coloration_class"
"Aeshna affinis","57","66","39","49","37","42","azure blue/black","intermediate"
"Aeshna caerulea","54","64","42","48","37","41","azure blue/black","dark"
"Aeshna crenata","71","86","53","67","44","60","azure blue/black","dark"
"Aeshna cyanea","67","76","51","61","43","53","azure blue/black","intermediate"
"Aeshna grandis","70","77","49","60","41","49","brownish","dark"
"Aeshna isoceles","62","66","47","54","39","45","brownish","intermediate"
"Aeshna juncea","65","80","50","59","40","48","azure blue/black","dark"
"Aeshna mixta","56","64","43","54","37","42","azure blue/black","dark"
"Aeshna serrata","75","81","50","62","48","53","azure blue/black","dark"
"Aeshna subarctica","70","76","47","57","39","46","brownish","dark"
"Aeshna viridis","65","75","43","54","38","45","azure blue/black","intermediate"
"Anax ephippiger","61","70","43","56","43","48","brownish","pale"
"Anax immaculifrons","80","86","55","60","54","60","yellow/black","intermediate"
"Anax imperator","66","84","50","61","45","52","azure blue/black","intermediate"
"Anax parthenope","62","75","46","53","44","51","brownish","dark"
"Boyeria cretensis","69","71","45","49","44","47","brownish","intermediate"
"Boyeria irene","63","71","44","48","39","45","brownish","dark"
"Brachythemis impartita","25","34","16","21","20","26","dark/black","dark"
"Brachytron pratense","54","63","37","46","34","37","azure blue/black","dark"
"Caliaeschna microstigma","50","60","39","47","35","41","azure blue/black","dark"
"Calopteryx haemorrhoidalis","45","48","30","43","23","37","brownish","dark"
"Calopteryx splendens","45","48","33","41","27","36","metallic green/blue","dark"
"Calopteryx virgo","45","49","31","42","24","36","metallic green/blue","dark"
"Calopteryx xanthostoma","45","48","35","37","28","31","metallic green/blue","dark"
"Ceriagrion georgifreyi","35","40","28","33","17","20","red","pale"
"Ceriagrion tenellum","25","35","22","30","15","21","red","pale"
"Chalcolestes parvidens","44","50","34","39","22","26","metallic green/blue","intermediate"
"Chalcolestes viridis","39","48","29","39","23","28","metallic green/blue","intermediate"
"Coenagrion armatum","31","34","22","26","16","21","azure blue/black","dark"
"Coenagrion caerulescens","30","33","18","27","14","21","azure blue/black","intermediate"
"Coenagrion castellani","NA","NA","NA","NA","17","19","azure blue/black","intermediate"
"Coenagrion ecornutum","26","30","NA","NA","NA","NA","azure blue/black","dark"
"Coenagrion glaciale","25","29","NA","NA","NA","NA","azure blue/black","dark"
"Coenagrion hastulatum","31","33","22","26","16","22","azure blue/black","intermediate"
"Coenagrion hylas","33","38","25","32","19","28","azure blue/black","dark"
"Coenagrion intermedium","35","36","26","32","19","22","azure blue/black","intermediate"
"Coenagrion johanssoni","27","30","20","24","15","19","azure blue/black","intermediate"
"Coenagrion lunulatum","30","33","22","26","16","22","azure blue/black","dark"
"Coenagrion mercuriale","27","31","19","27","12","21","azure blue/black","intermediate"
"Coenagrion ornatum","30","31","20","30","17","24","azure blue/black","intermediate"
"Coenagrion puella","33","35","22","31","15","24","azure blue/black","intermediate"
"Coenagrion pulchellum","34","38","23","32","16","23","azure blue/black","dark"
"Coenagrion scitulum","30","33","20","27","14","20","azure blue/black","intermediate"
"Cordulegaster bidentata","69","83","52","63","41","50","yellow/black","dark"
"Cordulegaster boltonii","74","85","52","69","40","51","yellow/black","dark"
"Cordulegaster helladica","68","83","50","63","41","49","yellow/black","intermediate"
"Cordulegaster heros","77","96","56","76","45","58","yellow/black","dark"
"Cordulegaster insignis","71","83","52","63","40","49","yellow/black","intermediate"
"Cordulegaster picta","72","89","53","68","43","53","yellow/black","intermediate"
"Cordulegaster trinacriae","73","93","55","72","45","53","yellow/black","dark"
"Cordulia aenea","47","55","30","39","29","35","metallic green/blue","dark"
"Crocothemis erythraea","36","45","18","33","23","33","red","pale"
"Diplacodes lefebvrii","25","34","15","25","19","29","dark/black","dark"
"Enallagma cyathigerum","29","36","22","28","15","21","azure blue/black","intermediate"
"Epallage fatime","40","50","28","37","30","34","azure blue/black","pale"
"Epitheca bimaculata","55","65","37","43","36","44","brownish","dark"
"Erythromma lindenii","30","36","24","28","19","21","azure blue/black","pale"
"Erythromma najas","30","36","25","30","19","24","azure blue/black","dark"
"Erythromma viridulum","26","32","22","25","16","20","azure blue/black","intermediate"
"Gomphus graslinii","47","50","33","38","27","30","yellow/black","intermediate"
"Gomphus pulchellus","47","50","34","38","27","31","yellow/black","pale"
"Gomphus schneiderii","40","48","30","34","29","31","yellow/black","dark"
"Gomphus simillimus","45","50","33","38","29","33","yellow/black","intermediate"
"Gomphus vulgatissimus","45","50","33","37","28","33","yellow/black","dark"
"Ischnura aralensis","NA","NA","NA","NA","NA","NA","azure blue/black","dark"
"Ischnura elegans","30","34","22","29","14","21","azure blue/black","dark"
"Ischnura fountaineae","27","34","21","25","19","24","azure blue/black","dark"
"Ischnura genei","29","32","18","26","12","18","azure blue/black","dark"
"Ischnura graellsii","26","31","20","25","13","19","azure blue/black","dark"
"Ischnura hastata","20","27","17","21","11","15","brownish","intermediate"
"Ischnura intermedia","26","29","19","21","11","13","azure blue/black","intermediate"
"Ischnura pumilio","26","31","22","25","14","18","azure blue/black","dark"
"Ischnura saharensis","26","31","19","25","12","17","azure blue/black","dark"
"Ischnura senegalensis","28","31","19","25","13","16","azure blue/black","dark"
"Lestes barbarus","40","45","26","35","20","27","metallic green/blue","intermediate"
"Lestes dryas","35","40","26","33","20","25","metallic green/blue","intermediate"
"Lestes macrostigma","39","48","31","38","24","27","dark/black","dark"
"Lestes sponsa","35","39","25","33","17","24","metallic green/blue","intermediate"
"Lestes virens","30","39","25","32","19","23","metallic green/blue","intermediate"
"Leucorrhinia albifrons","33","39","22","27","23","28","gray-blue","dark"
"Leucorrhinia caudalis","33","37","23","25","29","32","gray-blue","dark"
"Leucorrhinia dubia","31","36","21","27","23","28","dark/black","dark"
"Leucorrhinia pectoralis","32","39","23","27","30","33","dark/black","dark"
"Leucorrhinia rubicunda","31","38","23","28","27","31","dark/black","dark"
"Libellula depressa","39","48","22","31","32","38","gray-blue","intermediate"
"Libellula fulva","42","45","25","29","32","38","gray-blue","intermediate"
"Libellula quadrimaculata","40","48","27","32","32","40","brownish","intermediate"
"Lindenia tetraphylla","69","80","49","57","36","40","yellow/black","pale"
"Macromia amphigena","NA","NA","NA","NA","NA","NA","yellow/black","dark"
"Macromia splendens","70","75","48","55","42","49","yellow/black","dark"
"Nehalennia speciosa","24","26","19","25","11","16","metallic green/blue","dark"
"Onychogomphus cazuma","43","47","29","35","25","30","yellow/black","intermediate"
"Onychogomphus costae","43","46","28","34","22","27","yellow/black","pale"
"Onychogomphus forcipatus","46","50","31","39","25","35","yellow/black","dark"
"Onychogomphus uncatus","50","53","34","42","29","34","yellow/black","intermediate"
"Ophiogomphus cecilia","50","60","37","42","30","36","yellow/black","intermediate"
"Orthetrum albistylum","45","50","30","37","33","38","gray-blue","intermediate"
"Orthetrum brunneum","41","49","25","32","33","37","gray-blue","pale"
"Orthetrum cancellatum","44","50","29","35","35","41","gray-blue","intermediate"
"Orthetrum chrysostigma","39","48","26","33","27","32","gray-blue","pale"
"Orthetrum coerulescens","36","45","23","38","28","33","gray-blue","intermediate"
"Orthetrum nitidinerve","46","50","28","33","31","38","gray-blue","pale"
"Orthetrum ransonnetii","45","59","28","34","27","32","gray-blue","pale"
"Orthetrum sabina","43","50","31","36","28","33","yellow/black","intermediate"
"Orthetrum taeniolatum","33","38","21","26","25","28","gray-blue","pale"
"Orthetrum trinacria","51","67","38","44","34","38","gray-blue","dark"
"Oxygastra curtisii","47","54","33","39","33","36","metallic green/blue","dark"
"Pantala flavescens","45","55","26","37","38","42","red","pale"
"Paragomphus genei","37","50","30","36","21","26","green-yellow","intermediate"
"Platycnemis acutipennis","34","37","24","28","18","19","azure blue/black","pale"
"Platycnemis latipes","33","37","25","30","18","22","azure blue/black","pale"
"Platycnemis pennipes","35","37","27","31","19","23","azure blue/black","pale"
"Platycnemis subdilatata","33","36","22","28","17","21","azure blue/black","pale"
"Pyrrhosoma elisabethae","36","38","28","30","20","24","red","intermediate"
"Pyrrhosoma nymphula","33","36","25","30","19","24","red","intermediate"
"Selysiothemis nigra","30","38","21","26","24","27","dark/black","dark"
"Somatochlora alpestris","45","50","31","36","30","34","dark/black","dark"
"Somatochlora arctica","45","51","30","37","28","35","dark/black","dark"
"Somatochlora borisi","45","50","34","37","31","34","metallic green/blue","dark"
"Somatochlora flavomaculata","45","54","34","43","32","39","metallic green/blue","dark"
"Somatochlora graeseri","45","51","NA","NA","NA","NA","metallic green/blue","dark"
"Somatochlora meridionalis","50","55","35","44","34","38","metallic green/blue","dark"
"Somatochlora metallica","50","55","37","44","34","38","metallic green/blue","dark"
"Somatochlora sahlbergi","48","50","32","35","30","33","dark/black","dark"
"Stylurus flavipes","50","55","37","42","30","35","yellow/black","intermediate"
"Sympecma fusca","34","39","25","30","18","23","brownish","pale"
"Sympecma paedisca","36","39","25","29","18","22","brownish","pale"
"Sympetrum danae","29","34","18","26","20","30","dark/black","dark"
"Sympetrum depressiusculum","29","34","20","24","24","28","red","pale"
"Sympetrum flaveolum","32","37","19","27","23","32","red","intermediate"
"Sympetrum fonscolombii","33","40","22","29","26","31","red","pale"
"Sympetrum meridionale","35","40","22","28","25","30","red","pale"
"Sympetrum nigrifemur","43","48","26","30","29","33","red","pale"
"Sympetrum pedemontanum","28","35","18","24","21","28","red","intermediate"
"Sympetrum sanguineum","34","39","20","26","23","31","red","intermediate"
"Sympetrum sinaiticum","34","37","21","26","24","29","red","pale"
"Sympetrum striolatum","35","44","20","30","24","30","red","intermediate"
"Sympetrum vulgatum","35","40","23","28","24","29","red","pale"
"Trithemis annulata","32","38","17","29","20","35","red","intermediate"
"Trithemis arteriosa","32","38","20","26","23","30","red","pale"
"Trithemis festiva","31","37","20","28","23","32","dark/black","dark"
"Trithemis kirbyi","30","35","19","23","23","29","red","pale"
"Zygonyx torridus","50","60","35","43","45","50","yellow/black","intermediate"
