"species_name","redlist_2024_category","redlist_2024_criteria","eu27_redlist_2024_category","eu27_redlist_2024_criteria","population_trend","eoo_europe","aoo_europe","eoo_eu27","aoo_eu27"
"Aeshna affinis","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Increasing","12733980","27228","6073513.5","25288"
"Aeshna caerulea","Near Threatened (NT)","A2ac+3c","Near Threatened (NT)","A2c+3c","Decreasing","6937684.5","6348","2129515.5","4512"
"Aeshna crenata","Least Concern (LC)",NA,"Near Threatened (NT)","A3c; B2b(iii)","Stable","2027361.5","580","278298.5","456"
"Aeshna cyanea","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","10000414.5","210776","5979715","147076"
"Aeshna grandis","Vulnerable (VU)","A2ac+3c","Vulnerable (VU)","A2ac+3c","Decreasing","8813956.5","160580","4910009","106576"
"Aeshna isoceles","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Increasing","8788452.5","60724","6059773","57176"
"Aeshna juncea","Endangered (EN)","A2ac+3c+4c","Endangered (EN)","A2c+3c+4c","Decreasing","10928734","74056","6499394.5","37912"
"Aeshna mixta","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","11252878","187180","8362780","138608"
"Aeshna serrata","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","2121428.5","1032","470110.5","940"
"Aeshna subarctica","Near Threatened (NT)","A2ac+3c","Near Threatened (NT)","A2c+3c","Decreasing","5421112","6084","2637384","5712"
"Aeshna viridis","Near Threatened (NT)","A2ac","Near Threatened (NT)","A2ac","Decreasing","4395462","6732","2003781.5","6528"
"Anax ephippiger","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Increasing","11634562.5","11588","9116003.5","10784"
"Anax immaculifrons","Vulnerable (VU)","C1+2a(i); D1","Vulnerable (VU)","C1+2a(i); D1","Unknown","78051","188","78051","188"
"Anax imperator","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Increasing","15381823","249608","11764381.5","195096"
"Anax parthenope","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Increasing","12766917.5","41276","9253717.5","38224"
"Boyeria cretensis","Endangered (EN)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C2a(i)","Endangered (EN)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C1+2a(i)","Decreasing","2701","100","2701","100"
"Boyeria irene","Near Threatened (NT)","A2ac+3c","Near Threatened (NT)","A2ac+3c","Decreasing","2604607","28432","2604607","28388"
"Brachythemis impartita","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Increasing","1903047","4784","1903047","4784"
"Brachytron pratense","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","9040417","76204","6859830","62592"
"Caliaeschna microstigma","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","886397.5","2828","879299","1948"
"Calopteryx haemorrhoidalis","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","2091417.5","27532","2091417.5","27532"
"Calopteryx splendens","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","10301932.5","180040","6928670","129388"
"Calopteryx virgo","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","12698664","153808","8514623","126700"
"Calopteryx xanthostoma","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","1322462","19516","1322462.5","19516"
"Ceriagrion georgifreyi","Critically Endangered (CR)","C2a(i)","Critically Endangered (CR)","C2a(i)","Decreasing","76040","36","76040","36"
"Ceriagrion tenellum","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","4075130.5","44192","3754893","41284"
"Chalcolestes parvidens","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","3348329","2948","2032934.5","2484"
"Chalcolestes viridis","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","5990316.5","124068","5100808","119388"
"Coenagrion armatum","Least Concern (LC)",NA,"Near Threatened (NT)","A3c","Stable","5653274.5","2828","1867183","2444"
"Coenagrion caerulescens","Endangered (EN)","A2ac+3c+4ac","Endangered (EN)","A2ac+3c+4c","Decreasing","1537624","4080","1537624.5","4080"
"Coenagrion castellani","Vulnerable (VU)","A2ac+3c","Vulnerable (VU)","A2c+3c","Decreasing","204582","356","204582","356"
"Coenagrion ecornutum","Least Concern (LC)",NA,"Not Applicable (NA)",NA,"Increasing","15469.5","60","not relevant","not relevant"
"Coenagrion glaciale","Data Deficient (DD)",NA,"Not Applicable (NA)",NA,"Unknown","NA","8","not relevant","not relevant"
"Coenagrion hastulatum","Vulnerable (VU)","A2ac+3c","Vulnerable (VU)","A2c+3c","Decreasing","8744000.5","35040","4082398","30076"
"Coenagrion hylas","Vulnerable (VU)","C1; D2","Endangered (EN)","B2ab(v); C1","Decreasing","80990","28","175","16"
"Coenagrion intermedium","Endangered (EN)","B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)","Endangered (EN)","B1ab(ii,iii,iv,v)+B2ab(ii,iii,iv,v)","Decreasing","4138.5","80","4138.5","80"
"Coenagrion johanssoni","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","2980868.5","3836","1082754","3256"
"Coenagrion lunulatum","Vulnerable (VU)","A2ac+3c","Vulnerable (VU)","A2ac+3c","Decreasing","7031059","8704","4386916","8324"
"Coenagrion mercuriale","Vulnerable (VU)","A2ac+3c","Vulnerable (VU)","A2bc+3bc","Decreasing","3101318.5","31912","2746486","30920"
"Coenagrion ornatum","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","3055837","3720","2016886.5","3376"
"Coenagrion puella","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","10346004.5","253884","7079808.5","182600"
"Coenagrion pulchellum","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","9893967","88432","5960610.5","80984"
"Coenagrion scitulum","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","6208325.5","26136","4313846.5","25232"
"Cordulegaster bidentata","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","2631809","11332","2596217","9804"
"Cordulegaster boltonii","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","8080566","95756","5304519","64768"
"Cordulegaster helladica","Vulnerable (VU)","A2ac+3c; B2ab(ii,iii,iv)","Vulnerable (VU)","A2ac; B2ab(ii,iii,iv)","Decreasing","52019.5","532","52019.5","532"
"Cordulegaster heros","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","912660","5180","880525","4796"
"Cordulegaster insignis","Vulnerable (VU)","C2a(i)","Vulnerable (VU)","C2a(i)","Decreasing","254340.5","360","192027","328"
"Cordulegaster picta","Vulnerable (VU)","A2ac+3c","Vulnerable (VU)","A2ac+3c","Decreasing","131022.5","476","127211","432"
"Cordulegaster trinacriae","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Unknown","155377","948","155377","948"
"Cordulia aenea","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","9046225.5","103068","5788934","94976"
"Crocothemis erythraea","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Increasing","10513260","91124","7663061.5","88892"
"Diplacodes lefebvrii","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Increasing","1320636.5","2036","1320636.5","2032"
"Enallagma cyathigerum","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","12978199","236596","8622853.5","149804"
"Epallage fatime","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","517387","1228","492636.5","1208"
"Epitheca bimaculata","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Increasing","6471630","8632","3136887.5","7776"
"Erythromma lindenii","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Increasing","5543310.5","56524","5001746.5","55688"
"Erythromma najas","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","8526888.5","113616","4908695","91276"
"Erythromma viridulum","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Increasing","9542445","81996","6239583","73244"
"Gomphus graslinii","Near Threatened (NT)","A2ac+3c","Near Threatened (NT)","A2ac+3c","Decreasing","948565","5100","948565.5","5100"
"Gomphus pulchellus","Near Threatened (NT)","A2ac","Near Threatened (NT)","A2ac","Decreasing","1886687.5","42580","1886687.5","42320"
"Gomphus schneiderii","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Unknown","312699.5","392","219933.5","312"
"Gomphus simillimus","Near Threatened (NT)","A2ac+3c+4ac","Near Threatened (NT)","A2c+3c","Decreasing","1434957.5","8620","1434957.5","8564"
"Gomphus vulgatissimus","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","8438808","38276","4841889","32848"
"Ischnura aralensis","Data Deficient (DD)",NA,"Not Applicable (NA)",NA,"Unknown","3929.5","40","not relevant","not relevant"
"Ischnura elegans","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Decreasing","13917864.5","313936","10185336.5","227176"
"Ischnura fountaineae","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","212740.5","20","0","8"
"Ischnura genei","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","268149.5","1776","268149.5","1776"
"Ischnura graellsii","Near Threatened (NT)","A2ac","Near Threatened (NT)","A2ac","Decreasing","679178","25824","679178","25824"
"Ischnura hastata","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","38911","184","38911","184"
"Ischnura intermedia","Endangered (EN)","A2ac; B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv); D","Endangered (EN)","A2ac; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C2a(i)","Decreasing","508","92","508","92"
"Ischnura pumilio","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","12977079.5","51348","9957246.5","47244"
"Ischnura saharensis","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","37778","80","37778","80"
"Ischnura senegalensis","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Unknown","5147.5","24","5147.5","24"
"Lestes barbarus","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","8896473.5","35888","5830374","34392"
"Lestes dryas","Least Concern (LC)",NA,"Least Concern (LC)",NA,"Stable","10867181","34800","7284746.5","32772"
"Lestes macrostigma","Near Threatened (NT)","B2ac(ii,iii,iv)","Vulnerable (VU)","B2ab(iii)c(iv)","Unknown","7467554.5","2032","4094094.5","1908"
"Lestes sponsa","Near Threatened (NT)","A2ac+3c","Near Threatened (NT)","A2c+3c","Decreasing","10154243","126128","6469294.5","88524"
