"species_name","exuvia_length_min","exuvia_length_max","exuvia_body_length_min","exuvia_body_length_max","exuvia_caudal_lamellae_min","exuvia_caudal_lamellae_max"
"Aeshna affinis","29","37","not relevant","not relevant","not relevant","not relevant"
"Aeshna caerulea","34","42","not relevant","not relevant","not relevant","not relevant"
"Aeshna crenata","40","54","not relevant","not relevant","not relevant","not relevant"
"Aeshna cyanea","34","48","not relevant","not relevant","not relevant","not relevant"
"Aeshna grandis","41","46","not relevant","not relevant","not relevant","not relevant"
"Aeshna isoceles","38","44","not relevant","not relevant","not relevant","not relevant"
"Aeshna juncea","37","45","not relevant","not relevant","not relevant","not relevant"
"Aeshna mixta","29","37","not relevant","not relevant","not relevant","not relevant"
"Aeshna serrata","44","46","not relevant","not relevant","not relevant","not relevant"
"Aeshna subarctica","37","43","not relevant","not relevant","not relevant","not relevant"
"Aeshna viridis","39","46","not relevant","not relevant","not relevant","not relevant"
"Anax ephippiger","42","44","not relevant","not relevant","not relevant","not relevant"
"Anax immaculifrons","56","58","not relevant","not relevant","not relevant","not relevant"
"Anax imperator","45","59","not relevant","not relevant","not relevant","not relevant"
"Anax parthenope","48","54","not relevant","not relevant","not relevant","not relevant"
"Boyeria cretensis","40","44","not relevant","not relevant","not relevant","not relevant"
"Boyeria irene","36","41","not relevant","not relevant","not relevant","not relevant"
"Brachythemis impartita","14","18","not relevant","not relevant","not relevant","not relevant"
"Brachytron pratense","35","40","not relevant","not relevant","not relevant","not relevant"
"Caliaeschna microstigma","29","35","not relevant","not relevant","not relevant","not relevant"
"Calopteryx haemorrhoidalis","28","31","19","20","9","11"
"Calopteryx splendens","27","38","18","24","9","14"
"Calopteryx virgo","23","34","17","23","6","11"
"Calopteryx xanthostoma","31","36","22","23","9","13"
"Ceriagrion georgifreyi","14","17","13","14","4","NA"
"Ceriagrion tenellum","15","19","11","14","4","5"
"Chalcolestes parvidens","23","29","15","20","8","9"
"Chalcolestes viridis","23","29","16","20","7","9"
"Coenagrion armatum","19","23","14","17","5","6"
"Coenagrion caerulescens","14","18","11","14","3","4"
"Coenagrion castellani **","14","18","11","14","3","4"
"Coenagrion ecornutum","NA","NA","NA","NA","NA","NA"
"Coenagrion glaciale","NA","NA","NA","NA","NA","NA"
"Coenagrion hastulatum","20","23","14","16","6","7"
"Coenagrion hylas","21","23","15","16","6","7"
"Coenagrion intermedium","18","21","13","15","5","6"
"Coenagrion johanssoni","13","14.5","10","11","3","3.5"
"Coenagrion lunulatum","19","25","14","17","5","8"
"Coenagrion mercuriale","14","18","11","14","3","4"
"Coenagrion ornatum","15","19","12","15","3","4"
"Coenagrion puella","17","21","12","15","5","6"
"Coenagrion pulchellum","17","20","12","14","5","6"
"Coenagrion scitulum","14","21","11","15","3","6"
"Cordulegaster bidentata","34","45","not relevant","not relevant","not relevant","not relevant"
"Cordulegaster boltonii","35","47","not relevant","not relevant","not relevant","not relevant"
"Cordulegaster helladica","40","NA","not relevant","not relevant","not relevant","not relevant"
"Cordulegaster heros","40","48","not relevant","not relevant","not relevant","not relevant"
"Cordulegaster insignis","34","48","not relevant","not relevant","not relevant","not relevant"
"Cordulegaster picta","39","44","not relevant","not relevant","not relevant","not relevant"
"Cordulegaster trinacriae","39","48","not relevant","not relevant","not relevant","not relevant"
"Cordulia aenea","21","26","not relevant","not relevant","not relevant","not relevant"
"Crocothemis erythraea","17","19","not relevant","not relevant","not relevant","not relevant"
"Diplacodes lefebvrii","12","15","not relevant","not relevant","not relevant","not relevant"
"Enallagma cyathigerum","20","25","14","18","6","7"
"Epallage fatime","20","24","15","18","5","6"
"Epitheca bimaculata","27","32","not relevant","not relevant","not relevant","not relevant"
"Erythromma lindenii","18","22","13","15","5","7"
"Erythromma najas","25","31","18","22","7","9"
"Erythromma viridulum","17","20","12","14","5","6"
"Gomphus graslinii","27","30","not relevant","not relevant","not relevant","not relevant"
"Gomphus pulchellus","25","31","not relevant","not relevant","not relevant","not relevant"
"Gomphus schneiderii","26","30","not relevant","not relevant","not relevant","not relevant"
