"species_name","bern_convention","habitats_directive_2","habitats_directive_4","endemic_europe","endemic_eu27","near_endemic_europe"
"Aeshna affinis",0,0,0,0,0,0
"Aeshna caerulea",0,0,0,0,0,0
"Aeshna crenata",0,0,0,0,0,0
"Aeshna cyanea",0,0,0,0,0,1
"Aeshna grandis",0,0,0,0,0,0
"Aeshna isoceles",0,0,0,0,0,0
"Aeshna juncea",0,0,0,0,0,0
"Aeshna mixta",0,0,0,0,0,0
"Aeshna serrata",0,0,0,0,0,0
"Aeshna subarctica",0,0,0,0,0,0
"Aeshna viridis",1,0,4,0,0,0
"Anax ephippiger",0,0,0,0,0,0
"Anax immaculifrons",0,0,0,0,0,0
"Anax imperator",0,0,0,0,0,0
"Anax parthenope",0,0,0,0,0,0
"Boyeria cretensis",0,0,0,1,1,0
"Boyeria irene",0,0,0,0,0,1
"Brachythemis impartita",0,0,0,0,0,0
"Brachytron pratense",0,0,0,0,0,1
"Caliaeschna microstigma",0,0,0,0,0,0
"Calopteryx haemorrhoidalis",0,0,0,0,0,0
"Calopteryx splendens",0,0,0,0,0,0
"Calopteryx virgo",0,0,0,0,0,0
"Calopteryx xanthostoma",0,0,0,1,1,0
"Ceriagrion georgifreyi",0,0,0,0,0,0
"Ceriagrion tenellum",0,0,0,0,0,1
"Chalcolestes parvidens",0,0,0,0,0,0
"Chalcolestes viridis",0,0,0,0,0,1
"Coenagrion armatum",0,0,0,0,0,0
"Coenagrion caerulescens",0,0,0,0,0,0
"Coenagrion castellani",0,2,0,1,1,0
"Coenagrion ecornutum",0,0,0,0,0,0
"Coenagrion glaciale",0,0,0,0,0,0
"Coenagrion hastulatum",0,0,0,0,0,0
"Coenagrion hylas",1,2,0,0,0,0
"Coenagrion intermedium",0,0,0,1,1,0
"Coenagrion johanssoni",0,0,0,0,0,0
"Coenagrion lunulatum",0,0,0,0,0,0
"Coenagrion mercuriale",1,2,0,0,0,1
"Coenagrion ornatum",0,2,0,0,0,0
"Coenagrion puella",0,0,0,0,0,0
"Coenagrion pulchellum",0,0,0,0,0,0
"Coenagrion scitulum",0,0,0,0,0,0
"Cordulegaster bidentata",0,0,0,1,0,0
"Cordulegaster boltonii",0,0,0,0,0,1
"Cordulegaster helladica",0,0,0,1,1,0
"Cordulegaster heros",0,2,4,1,0,0
"Cordulegaster insignis",0,0,0,0,0,0
"Cordulegaster picta",0,0,0,0,0,0
"Cordulegaster trinacriae",1,2,4,1,1,0
"Cordulia aenea",0,0,0,0,0,0
"Crocothemis erythraea",0,0,0,0,0,0
"Diplacodes lefebvrii",0,0,0,0,0,0
"Enallagma cyathigerum",0,0,0,0,0,0
"Epallage fatime",0,0,0,0,0,0
"Epitheca bimaculata",0,0,0,0,0,0
"Erythromma lindenii",0,0,0,0,0,0
"Erythromma najas",0,0,0,0,0,0
"Erythromma viridulum",0,0,0,0,0,0
"Gomphus graslinii",1,2,4,1,1,0
"Gomphus pulchellus",0,0,0,1,0,0
"Gomphus schneiderii",0,0,0,0,0,0
"Gomphus simillimus",0,0,0,1,0,0
"Gomphus vulgatissimus",0,0,0,0,0,0
"Ischnura aralensis",0,0,0,0,0,0
"Ischnura elegans",0,0,0,0,0,0
"Ischnura fountaineae",0,0,0,0,0,0
"Ischnura genei",0,0,0,1,1,0
"Ischnura graellsii",0,0,0,0,0,0
"Ischnura hastata",0,0,0,0,0,0
"Ischnura intermedia",0,0,0,0,0,0
"Ischnura pumilio",0,0,0,0,0,0
"Ischnura saharensis",0,0,0,0,0,0
"Ischnura senegalensis",0,0,0,0,0,0
"Lestes barbarus",0,0,0,0,0,0
"Lestes dryas",0,0,0,0,0,0
"Lestes macrostigma",0,0,0,0,0,0
