"short_reference","long_reference"
"Billqvist et al. 2023","Billqvist M, Andersson D & Bergendorff C. 2023. Nordens trollsländor. Ny och utökad upplaga. Avium Förlag AB, Stenåsa "
"Brochard etal. 2012","Brochard C, Groenendijk D, van der Ploeg E & Termaat T. 2012. Fotogids Larvenhuidjes van Libellen. KNNV Uitgeverij, Zeist "
"Boudot et al. 2021","Boudot J-P, Borisov SN, De Knijf G, van Grunsven R, Schröter A., Kalkman VJ. 2021.  Atlas of the dragonflies and damselflies of West and Central Asia. Brachytron 22 Supplement: 4-238 "
"Boudot & Kalkman 2015","Boudot J-P, Kalkman VJ (eds). 2015. Atlas of the Dragonflies and Damselflies of Europe. KNNV Publishing, Utrecht "
"De Knijf et al. 2016","De Knijf G, Sparrow DJ, Dimitriou AC, Kent R, Kent H, Siedle K, Lewis J & Crossley L .2016. Distribution, ecology and status of a threatened species Ischnura intermedia (Insecta: Odonata), new for Europe. International Journal of Odonatology 19: 257-274. https://doi.org/10.1080/13887890.2016.1259662 "
"De Knijf et al. 2024","De Knijf G, Billqvist M, van Grunsven RHA, Prunier F, Vinko D, Trottet A, Bellotto V, Clay J, Allen, DJ (2024) Measuring the pulse of European biodiversity. European Red List of Dragonflies & Damselflies (Odonata). Brussels, Belgium: European Commission. https://doi.org/10.2779/462053 "
"Dijkstra et al. 2020","Dijkstra K-DB, Schröter A & Lewington R. 2020. Field guide to the dragonflies of Britain and Europe 2nd edn. Bloomsbury Publishing."
"Dijkstra et al. 2023","Dijkstra K-DB, Assandri G, Galimberti A. 2023. Morphological and molecular evidence supports the species status of the Italian endemic Coenagrion castellani Roberts, 1948 (Coenagrionidae). International Journal of Odonatology 26: 44–53. https://doi.org/10.48156/1388.2023.1917025 "
"Lopez-Estrada et al. 2020","Lopez-Estrada EK, Fernandez JB, Cardo-Maeso N, Montejano ST & Diaz-Martinez C. 2020. Onychogomphus cazuma sp. nov. from Spain: Molecular and morphological evidence supports the discovery of a new European dragonfly species (Odonata: Gomphidae). Odonatologica 49 (1/2): 125-154. https://doi.org/10.5281/zenodo.3823337  "
"Smallshire & Swash 2020","Smallshire DS & Wash A. 2020. Europe's Dragonflies. A field Guide to the damselflies and dragonflies. Princeton University Press & British Dragonfly Society, Woodstock "
"Sparrow et al. 2021","Sparrow DJ, De Knijf G & Sparrow R. 2021. Diversity, Status and Phenology of the Dragonflies and Damselflies of Cyprus (Insecta: Odonata). Diversity 2021, 13, 532. https://doi.org/10.3390/d13110532"
"Sternberg & Buchwald 1999","Sternberg K & Buchwald R. 1999. Die Libellen Baden-Württembergs. Band 1: Allgemeiner Teil, Kleinlibellen (Zygoptera). Ulmer Verlag, Stuttgart "
"Sternberg & Buchwald 2000","Sternberg K & Buchwald R. 2000. Die Libellen Baden-Württembergs. Band 2: Grosslibellen (Anisoptera). Ulmer Verlag, Stuttgart "
"Suhling & Müller 1996","Suhling F, Müller O. 1996. Die Flußjungfern Europas: Gomphidae - Reihe: Die Libellen Europas, Teil 2 innerh. der Neuen Brehm-Bücherei, Magdeburg, Germany "
"Termaat et al. 2019","Termaat T, van Strien A J, van Grunsven RHA, De Knijf G, Bjelke U, Burbach K, Conze K-J, Goffart P, Hepper D, Kalkman VJ, Motte G, Prins M, Prunier F, Sparrow DJ, van den Top GG, Vanappelghem C, Winterholler M &  Wallis De Vries M F (2019) Distribution trends of European dragonflies under climate change. Diversity and Distributions 25 (6), 936-950. https://doi.org/10.1111/ddi.12913 (2019). "
"Wildermuth & Martens 2019","Wildermuth & Martens.2019. Die Libellen Europas. Alle Arten von der Azoren bis zum Ural im Porträt. Quelle & Meyer Verlag, Wiebelsheim "
