"Nr","sources"
1,"IUCN 2012. IUCN Red List Categories and Criteria: Version 3.1. Second edition. Gland, Switzerland and Cambridge, UK: IUCN. https://www.iucnredlist.org/resources/categories-and-criteria"
2,"De Knijf G, Billqvist M, van Grunsven RHA, Prunier F, Vinko D, Trottet A, Bellotto V, Clay J, Allen, DJ (2024) Measuring the pulse of European biodiversity. European Red List of Dragonflies & Damselflies (Odonata). Brussels, Belgium: European Commission. https://doi.org/10.2779/462053 "
3,"Termaat et al. 2019. Distribution trends of European dragonflies under climate change. Diversity and Distributions 25: 936–950. https://doi.org/10.1111/ddi.12913"
4,"Dijkstra et al. 2020_Field Guide to the Dragonflies of Britain and Europe, second edition, Bloomsbury"
5,"Dijkstra K-DB, Assandri G, Galimberti A (2023) Morphological and molecular evidence supports the species status of the Italian endemic Coenagrion castellani Roberts, 1948 (Coenagrionidae). International Journal of Odonatology 26: 44–53. https://doi.org/10.48156/1388.2023.1917025 "
6,"Wildermuth & Martens (2019) Die Libellen Europas. Alle Arten von der Azoren bis zum Ural im Porträt. Quelle & Meyer Verlag, Wiebelsheim "
7,"Suhling F, Müller O (1996) Die Flußjungfern Europas: Gomphidae - Reihe: Die Libellen Europas, Teil 2 innerh. der Neuen Brehm-Bücherei, Magdeburg, Germany "
8,"Sternberg K, Buchwald R (2000) Die Libellen Baden Band 2: Grosslibellen (Anisoptera). Ulmer Verlag, Stuttgart "
9,"De Knijf G, Sparrow DJ, Dimitriou AC, Kent R, Kent H, Siedle K, Lewis J, Crossley L (2016) Distribution, ecology and status of a threatened species Ischnura intermedia (Insecta: Odonata), new for Europe. International Journal of Odonatology 19: 257-274. https://doi.org/10.1080/13887890.2016.1259662 "
10,"Boudot J-P, Borisov SN, De Knijf G, van Grunsven R, Schröter A., Kalkman VJ (2021) Atlas of the dragonflies and damselflies of West and Central Asia. Brachytron 22 Supplement: 4-238 "
11,"Boudot J-P, Kalkman VJ (eds) (2015) Atlas of the Dragonflies and Damselflies of Europe. KNNV Publishing, Utrecht "
12,"Billqvist M, Andersson D, Bergendorff C (2023) Nordens trollsländor. Ny och utökad upplaga. Avium Förlag AB, Stenåsa "
13,"Sparrow, De Knijf & Sparrow 2021. Diversity, Status and Phenology of the Dragonflies and Damselflies of Cyprus (Insecta: Odonata). Diversity 2021, 13, 532. https://doi.org/10.3390/d13110532"
14,"Smallshire DS, Wash A (2020) Europe's Dragonflies. A field Guide to the damselflies and dragonflies. Princeton University Press & British Dragonfly Society, Woodstock "
15,"Brochard C, Groenendijk D, van der Ploeg E, Termaat T (2012) Fotogids Larvenhuidjes van Libellen. KNNV Uitgeverij, Zeist "
16,"Lopez-Estrada EK, Fernandez JB, Cardo-Maeso N, Montejano ST, Diaz-Martinez C (2020) Onychogomphus cazuma sp. nov. from Spain: Molecular and morphological evidence supports the discovery of a new European dragonfly species (Odonata: Gomphidae). Odonatologica 49 (1/2): 125-154. https://doi.org/10.5281/zenodo.3823337  "
17,"literature information NA, but most likely same as close congeners occurring in the same region,i.e. Coenagrion, Cordulegaster, Gomphus"
18,"literature information NA, based on own observations or information from A. Martens, C Brochard"
19,"personal communication C. Diaz"
