"species_name","species_name_long","family","genus","species"
"Aeshna affinis","Aeshna affinis Vander Linden, 1820","Aeshnidae","Aeshna","affinis"
"Aeshna caerulea","Aeshna caerulea (Ström, 1783)","Aeshnidae","Aeshna","caerulea"
"Aeshna crenata","Aeshna crenata Hagen, 1856","Aeshnidae","Aeshna","crenata"
"Aeshna cyanea","Aeshna cyanea (Müller, 1764)","Aeshnidae","Aeshna","cyanea"
"Aeshna grandis","Aeshna grandis (Linnaeus, 1758)","Aeshnidae","Aeshna","grandis"
"Aeshna isoceles","Aeshna isoceles (Müller, 1767)","Aeshnidae","Aeshna","isoceles"
"Aeshna juncea","Aeshna juncea (Linnaeus, 1758)","Aeshnidae","Aeshna","juncea"
"Aeshna mixta","Aeshna mixta Latreille, 1805","Aeshnidae","Aeshna","mixta"
"Aeshna serrata","Aeshna serrata Hagen, 1856","Aeshnidae","Aeshna","serrata"
"Aeshna subarctica","Aeshna subarctica Walker, 1908","Aeshnidae","Aeshna","subarctica"
"Aeshna viridis","Aeshna viridis Eversmann, 1836","Aeshnidae","Aeshna","viridis"
"Anax ephippiger","Anax ephippiger (Burmeister, 1839)","Aeshnidae","Anax","ephippiger"
"Anax immaculifrons","Anax immaculifrons Rambur, 1842","Aeshnidae","Anax","immaculifrons"
"Anax imperator","Anax imperator Leach, 1815","Aeshnidae","Anax","imperator"
"Anax parthenope","Anax parthenope (Selys, 1839)","Aeshnidae","Anax","parthenope"
"Boyeria cretensis","Boyeria cretensis Peters, 1991","Aeshnidae","Boyeria","cretensis"
"Boyeria irene","Boyeria irene (Fonscolombe, 1838)","Aeshnidae","Boyeria","irene"
"Brachytron pratense","Brachytron pratense (Müller, 1764)","Aeshnidae","Brachytron","pratense"
"Caliaeschna microstigma","Caliaeschna microstigma (Schneider, 1845)","Aeshnidae","Caliaeschna","microstigma"
"Calopteryx haemorrhoidalis","Calopteryx haemorrhoidalis (Vander Linden, 1825)","Calopterygidae","Calopteryx","haemorrhoidalis"
"Calopteryx splendens","Calopteryx splendens (Harris, 1782)","Calopterygidae","Calopteryx","splendens"
