"species_name","body_size","abdomen_length","hindwing","coloration_male","coloration_class","exuvia_length_min","exuvia_body_length","exuvia_caudal_lamellae_min","habitat","percher_flier","main_flight_period","sti","sti_sd","voltinism","overwintering_stage","oviposition_mode","larval_strategy","bern_convention","habitats_directive","endemic_europe","endemic_eu27","near_endemic_europe","redlist_2024_category","redlist_2024_criteria","eu27_redlist_2024_category","eu27_redlist_2024_criteria","population_trend","eoo_europe","aoo_europe","eoo_eu27","aoo_eu27"
"Aeshna affinis","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Aeshna caerulea","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Aeshna crenata","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Aeshna cyanea","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Aeshna grandis","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Aeshna isoceles","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Aeshna juncea","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Aeshna mixta","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Aeshna serrata","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Aeshna subarctica","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
