"Column_label","column_description"
"species_name","Data source for species_name as short reference"
"body_size","Data source for body_size as short reference"
"abdomen_length","Data source for abdomen_length as short reference"
"hindwing","Data source for hindwing as short reference"
"coloration_male","Data source for coloration_male as short reference"
"coloration_class","Data source for coloration_class as short reference"
"exuvia_length_min","Data source for exuvia_length_min as short reference"
"exuvia_body_length","Data source for exuvia_body_length as short reference"
"exuvia_caudal_lamellae_min","Data source for exuvia_caudal_lamellae_min as short reference"
"habitat","Data source for habitat as short reference"
"percher_flier","Data source for percher_flier as short reference"
"main_flight_period","Data source for main_flight_period as short reference"
"sti","Data source for sti as short reference"
"sti_sd","Data source for sti_sd as short reference"
"voltinism","Data source for voltinism as short reference"
"overwintering_stage","Data source for overwintering_stage as short reference"
"oviposition_mode","Data source for oviposition_mode as short reference"
"larval_strategy","Data source for larval_strategy as short reference"
"bern_convention","Data source for bern_convention as short reference"
"habitats_directive","Data source for habitats_directive as short reference"
"endemic_europe","Data source for endemic_europe as short reference"
"endemic_eu27","Data source for endemic_eu27 as short reference"
"near_endemic_europe","Data source for near_endemic_europe as short reference"
"redlist_2024_category","Data source for redlist_2024_category as short reference"
"redlist_2024_criteria","Data source for redlist_2024_criteria as short reference"
"eu27_redlist_2024_category","Data source for eu27_redlist_2024_category as short reference"
"eu27_redlist_2024_criteria","Data source for eu27_redlist_2024_criteria as short reference"
"population_trend","Data source for population_trend as short reference"
"eoo_europe","Data source for eoo_europe as short reference"
"aoo_europe","Data source for aoo_europe as short reference"
"eoo_eu27","Data source for eoo_eu27 as short reference"
"aoo_eu27","Data source for aoo_eu27 as short reference"
